Магазин;Координаты;Дата и время;Товар;Производитель;Номер карты;Количество;Цена
Гипер Лента;59.984632, 30.226131;2024-11-01T17:02;йогурт;Danone;2200 5645 6368 7538;5;270
Перекрёсток;59.853622, 30.339284;2024-02-27T11:18;конфеты;Ferrero;5112 2338 2450 7063;4;980
Азбука daily;59.941794, 30.36652;2024-04-21T08:28;творог обезжиренный;Валио;2200 5677 6181 1495;2;112
Яндекс Маркет;59.913424, 30.286484;2024-02-18T15:51;ряженка;Ehrmann;2200 5639 6521 3798;2;80
Спортмастер;59.894882, 30.516501;2024-11-15T09:25;куртка;lee;2200 5646 1952 5549;3;15936
Ситилинк;59.986117, 30.204986;2024-04-15T17:43;объектив;olympus;5389 9429 2328 4659;4;124780
DNS;59.99765, 29.765664;2024-01-06T13:42;проигрыватель;technics;2200 7071 9784 6098;4;148788
ВкусВилл;59.959001, 30.273189;2024-05-12T08:59;йогурт;Вкуснотеево;4306 4329 9537 1723;1;66
ВкусВилл;59.920645, 30.371959;2024-11-10T14:34;сыр;Hochland;5228 6031 9705 5029;2;586
Магнит;59.949801, 30.225342;2024-01-07T12:49;консервы;Heinz;2200 5670 3885 7516;6;1182
Перекрёсток;59.74242, 30.09333;2024-11-02T19:04;творог;Домик в деревне;4986 2976 8720 1155;5;215
М.Видео;59.863891, 30.165287;2024-07-26T09:27;наушники;bose;2200 5617 3362 1969;7;71589
Гипер Лента;59.869494, 29.828101;2024-05-22T08:32;крупы;Макфа;2200 5625 1870 4747;7;357
Пятёрочка;59.939291, 30.201703;2024-04-14T15:55;мюсли;General Mills;2200 5647 5482 5532;5;790
Магнит;59.911203, 30.318072;2024-04-12T17:44;шоколад;Нестле Россия;5112 2399 7064 3696;4;1004
Глобус;59.959877, 30.440341;2024-07-23T09:07;ряженка;Простоквашино;2200 7024 2312 8980;1;32
Магнит;59.90816, 30.26396;2024-05-25T15:19;йогурт;Домик в деревне;2200 5652 2878 7098;6;300
Lichi;59.820557, 30.31807;2024-09-27T11:54;костюм;armani;2200 5631 9842 2539;7;501627
Wildberries;59.955807, 30.307698;2024-11-08T14:17;рубашка;uniqlo;4986 2925 1934 1311;6;9066
Ситилинк;59.916225, 30.512302;2024-08-16T17:46;ноутбук;hp;2200 5627 7909 7129;4;160848
Street Beat Kids;59.928091, 30.359974;2024-02-11T18:42;ботинки;dr. martens;5112 2318 6911 7701;5;38860
Rendez-Vous;60.091047, 30.381047;2024-04-08T10:09;толстовка;american eagle;4306 4335 1629 2576;3;10074
DNS;59.989714, 30.205831;2024-07-30T14:38;смартфон;samsung;5112 2363 4586 4734;6;370710
О'кей;59.878398, 30.35673;2024-11-03T10:58;творог обезжиренный;Рузское молоко;2200 5663 5918 8662;5;205
DNS;59.915074, 30.347812;2024-04-27T13:03;наушники;kef;2200 5688 8546 4497;6;84942
Красное&Белое;59.928311, 30.245014;2024-10-18T15:38;молоко 3.2%;Савушкин продукт;4986 2928 9267 2825;1;73
Магнит;59.915108, 30.324354;2024-06-07T20:09;кефир;Савушкин продукт;2200 5667 1106 9778;2;72
Пятёрочка;59.957928, 30.290775;2024-10-23T11:12;батончики;Здорово;5389 9472 3510 8639;4;552
ВкусВилл;59.869237, 30.311769;2024-07-10T10:16;йогурт;Чудо;2200 5661 5185 9748;5;385
Пятёрочка;59.922247, 30.292433;2024-06-17T13:13;крупы;Макфа;2200 5697 9896 6013;5;310
